Reporte,Control,Resultado Esperado,Resultado Obtenido,Status
849049,Chequear usuario root,b'1',b'1',OK
849049,Chequear permisos acceso root local,b'2',b'2',OK
849049,Chequear permisos acceso root remoto,b'1',b'Not found',ERR
849049,Cuentas con ID menor a 500  no deben realizar login interactivo,b'0',b'0',OK
849049,Cuentas del sistema no deben poder realizar login interactivo,b'0',b'0',OK
849049,Cuentas NO deben tener UID duplicados,b'0',b'0',OK
849049,Verificar grupos del sistema (/etc/group),b'0',b'0',OK
849049,Bloquear  cuentas luego de determinados intentos,b'0',b'Not found',ERR
849049,Verificar existencia de archivo .forward,b'1',b'1',OK
849049,Verificar encriptacion de passwords,b'0',b'0',OK
849049,Verificar presencia del comando xhost,b'0',b'find/home/alejandro/-maxdepth1-mindepth1-typef-execgrep-qixhost+{};',ERR
849049,Verificar presencia de ! en archivo .exrc,b'123',b'123',OK
849049,Verificar grupo "disk",b'0',b'0',OK
849049,Verificar archivo /etc/hosts.equiv,b'0',b'0',OK
849049,Verificar interfaces PPP,b'0',b'0',OK
849049,Verificar variable PATH,b'0',b'0',OK
849049,Tiempo de inactividad,b'0',b'Noexistevariabletmouten/etc/profileo/etc/csh.cshrc',ERR
849049,Verificar logins,b'0',b'0',OK
849049,Verificar si se esta en modo grafico,b'0',b'Elequiposeencuentraenmodografico',ERR
849049,Verificar montajes NFS,b'0',b'Not found',ERR
849049,Verificar montajes Home,b'0',b'0',OK
849049,Verificar dispositivos de almacenamiento USB,b'0',b'DispositivosdealmacenamientoUSBpermitidos',ERR
849049,Verificar servidor NFS,b'0',b'0',OK
849049,Asegurar servidor de impresion,b'0',b'Permisosdearchivocupsd.confincorrecto',ERR
849049,Verificar archivo .rhosts,b'0',b'0',OK
849049,Verificar IPv6,b'0',b'IPv6habilitado:inet6::1/128scopehostinet6fe80::a822:805e:ca22:2776/64scopelinknoprefixroute',ERR
849049,Registros de acceso,b'0',b'Permisosdearchivo/var/log/auth.logincorrectos',ERR
849049,Recepcion de Logs,b'0',b'ServicioSysloghabilitado',ERR
849049,Verificar montajes filesystems de usuario,b'0',b'0',OK
849049,Proteger grub con contraseña,b'0',b'Grubnoestaprotegidoconcontrase\xc3\xb1a',ERR
849049,Verificar directorio lost+found,b'0',b'0',OK
849049,Verificar formato del archivo /etc/passwd,b'0',b'0',OK
849049,Verificar entradas legacy,b'0',b'0',OK
